Date,Close,High,Low,Open,Volume
2025-02-26,132.86331176757812,137.64192444050295,131.90561266980885,135.8153811966498,1773300
2025-02-27,133.1002655029297,135.35134812563257,132.53750237988845,133.32734430238358,1439100
2025-02-28,135.72653198242188,135.8252697542028,132.34990808822442,133.4853171373608,3848100
2025-03-03,132.36965942382812,138.34291801951798,130.31603729407152,137.8887604233353,3209200
2025-03-04,127.8674774169922,130.9577858537436,124.82654539838678,130.34565385615144,4662000
2025-03-05,130.8096923828125,131.688404297326,128.38088486406556,129.41757118383887,2787100
2025-03-06,130.3160400390625,131.74764737673652,127.84774633091102,129.8124984808273,2668100
2025-03-07,132.02407836914062,133.66302879973227,129.8618509438236,131.10586539189885,3383900
2025-03-10,125.0931167602539,130.4246399807557,124.12554988635988,128.9239132521772,3432900
2025-03-11,128.25253295898438,130.28641959617588,124.53034942212108,125.09312007710132,3149300
2025-03-12,129.2003631591797,131.19474864265646,126.97889887863346,127.87736138109668,2154700
2025-03-13,127.9168472290039,132.12282923465403,127.50217570518622,128.98315188965032,1969300
2025-03-14,130.4147491455078,131.40206652578772,128.83505037622055,130.20742093219891,2111300
2025-03-17,127.85759735107422,129.29908731672285,125.98169287182904,128.8251641397805,3702500
2025-03-18,128.16366577148438,128.83504941902575,126.82091354166914,128.35125848278665,2168100
2025-03-19,129.38795471191406,129.85199511819212,127.47255645030135,128.6869526943657,1860800
2025-03-20,127.85759735107422,129.0127568474951,126.75180673540991,127.85759735107422,2799400
2025-03-21,120.4626007080078,124.97464102301944,118.05354378907178,123.65163176122152,10007400
2025-03-24,125.78424072265624,127.7884863459368,123.90833611949957,125.38931224841788,4234100
2025-03-25,125.94220733642578,127.13686804003962,125.01413408638383,125.66575966481184,2662000
2025-03-26,125.68551635742188,127.47255855933788,124.9746465771183,125.28071258094673,2337400
2025-03-27,125.85335540771484,127.22572604807472,123.30607460213857,124.40199756424384,2156000
2025-03-28,120.40335845947266,126.30752004858128,120.31450350578469,125.87309796574873,2737200
2025-03-31,119.35205841064452,119.74877610163564,116.15849953672958,119.01485329169648,2700200
2025-04-01,118.67765045166016,119.67935337136622,117.32881481644569,118.93551052400944,1914500
2025-04-02,122.01998138427734,122.43653156931045,117.09078149443648,117.09078149443648,2123600
2025-04-03,108.88867950439452,117.65610386025368,108.6407318803022,117.39824377926558,4247500
2025-04-04,102.37261199951172,105.7347810374002,98.95093038891216,105.33806334195611,3820000
2025-04-07,104.10824584960938,107.19271478711242,96.78882740837544,98.40545070172108,4103300
2025-04-08,102.8288345336914,109.86062521779154,100.71632359152082,108.6010546710725,3178200
2025-04-09,114.55179595947266,115.8113664904316,101.61884769811486,102.7891607214102,4111100
2025-04-10,108.5415496826172,111.63593105567172,105.17938064965712,111.43757599162076,2850600
2025-04-11,110.32676696777344,111.08052982456164,106.49845524526468,108.80932879781602,1779400
2025-04-14,109.91021728515624,112.91534113575514,109.6920221756357,112.15166581919382,2010400
2025-04-15,109.57301330566406,111.84420679939204,109.23580061468547,109.4341556799006,1366600
2025-04-16,108.0555648803711,110.69373106985368,106.91501193338358,108.40269758607393,1757500
2025-04-17,109.59284973144533,111.23922558570054,108.005986452306,108.12499646901584,2125600
2025-04-21,105.7942886352539,109.02752771720898,105.05044577560774,108.43245494284422,1823500
2025-04-22,108.7200698852539,108.97792994951912,105.6951060408,107.22246421416686,1939300
2025-04-23,111.0111083984375,114.8989252524355,110.2176729900963,112.65747665561834,1726600
2025-04-24,114.34352111816406,114.79974381407916,110.31685433965563,110.41603187063536,1784100
2025-04-25,114.76998901367188,115.30555675035248,113.33188835959612,113.8575436401096,1562700
2025-04-28,115.6130142211914,117.27922250533295,114.1848335299956,114.819578822358,2271000
2025-04-29,117.79495239257812,118.16191759549665,112.0624046087925,114.16500315778676,3053500
2025-04-30,118.39002990722656,118.697482528393,113.8476277854402,114.08565537709292,2970000
2025-05-01,118.73715209960938,120.87941550468746,118.41977946305111,119.01485221075278,1719100
2025-05-02,121.96047973632812,122.93243019484446,119.29256085376277,119.8281286350265,2085700
2025-05-05,119.50082397460938,121.88112246384264,119.4313989488166,120.5917919085362,1368400
2025-05-06,115.89071655273438,119.1437881298726,115.78161899414344,118.05282011072418,2378500
2025-05-07,114.20467376708984,117.08086763420526,113.0740332402617,117.08086763420526,2928900
2025-05-08,114.54187774658205,116.1981735603127,113.55008728970026,115.08736552457128,2084100
2025-05-09,114.27409362792967,115.85103676678752,113.3120557079551,114.9485114175271,1715200
